round,domain,method,queries,nanoseconds_per_query
0,unit,native,80000,305.905
0,unit,fractional,80000,222.808
0,shifted,fractional,80000,111.821
0,tiny,fractional,80000,124.417
0,huge,fractional,80000,124.430
0,subnormal,fractional,200,75641.385
1,shifted,fractional,80000,111.663
1,tiny,fractional,80000,124.322
1,huge,fractional,80000,124.252
1,subnormal,fractional,200,74738.265
1,unit,fractional,80000,111.669
1,unit,native,80000,140.574
2,tiny,fractional,80000,124.247
2,huge,fractional,80000,124.235
2,subnormal,fractional,200,74923.710
2,unit,native,80000,151.214
2,unit,fractional,80000,111.585
2,shifted,fractional,80000,120.529
3,huge,fractional,80000,124.213
3,subnormal,fractional,200,74789.550
3,unit,fractional,80000,111.557
3,unit,native,80000,140.449
3,shifted,fractional,80000,111.531
3,tiny,fractional,80000,124.187
4,subnormal,fractional,200,74754.105
4,unit,native,80000,140.580
4,unit,fractional,80000,111.683
4,shifted,fractional,80000,111.649
4,tiny,fractional,80000,124.275
4,huge,fractional,80000,124.297
