case,round,iterations,legacy_ns_per_curve,framed_ns_per_curve
controls-4-origin-0,0,20000,966.32835,1006.8852
controls-4-origin-0,1,20000,962.68515,1006.91555
controls-4-origin-0,2,20000,964.38275,1009.38515
controls-4-origin-0,3,20000,965.69955,1008.80035
controls-4-origin-0,4,20000,964.23155,1008.91955
controls-4-origin-1000000000000,0,20000,962.79555,1058.4412
controls-4-origin-1000000000000,1,20000,965.16755,1058.85875
controls-4-origin-1000000000000,2,20000,964.65235,1058.41
controls-4-origin-1000000000000,3,20000,964.78675,1059.31555
controls-4-origin-1000000000000,4,20000,964.59715,1058.9644
controls-4-origin--1000000000000,0,20000,965.44995,1074.36595
controls-4-origin--1000000000000,1,20000,965.26195,1072.2748
controls-4-origin--1000000000000,2,20000,965.26275,1073.56755
controls-4-origin--1000000000000,3,20000,964.61875,1074.6332
controls-4-origin--1000000000000,4,20000,964.50995,1071.626
controls-19-origin-0,0,20000,17189.92055,18003.81045
controls-19-origin-0,1,20000,17215.07255,18005.42645
controls-19-origin-0,2,20000,17191.027,18000.29045
controls-19-origin-0,3,20000,17219.11495,17996.23205
controls-19-origin-0,4,20000,17181.05335,18000.67445
controls-19-origin-1000000000000,0,20000,17184.95095,18093.8433
controls-19-origin-1000000000000,1,20000,17219.25975,18089.9273
controls-19-origin-1000000000000,2,20000,17183.4958,18099.0505
controls-19-origin-1000000000000,3,20000,17205.9054,18096.21845
controls-19-origin-1000000000000,4,20000,17178.68375,18101.1025
controls-19-origin--1000000000000,0,20000,17190.82055,18108.3121
controls-19-origin--1000000000000,1,20000,17208.1838,18100.2633
controls-19-origin--1000000000000,2,20000,17185.71655,18102.18415
controls-19-origin--1000000000000,3,20000,17204.96775,18109.5609
controls-19-origin--1000000000000,4,20000,17185.4726,18105.0745
