case,round,iterations,legacy_ns_per_curve,framed_ns_per_curve
controls-4-origin-0,0,20000,967.69475,971.99155
controls-4-origin-0,1,20000,963.88195,970.64515
controls-4-origin-0,2,20000,966.16435,970.7403
controls-4-origin-0,3,20000,967.14035,971.21315
controls-4-origin-0,4,20000,964.18835,971.60115
controls-4-origin-1000000000000,0,20000,966.14755,1026.05395
controls-4-origin-1000000000000,1,20000,966.5683,1024.5292
controls-4-origin-1000000000000,2,20000,965.41475,1026.3772
controls-4-origin-1000000000000,3,20000,965.73875,1024.95555
controls-4-origin-1000000000000,4,20000,965.45555,1026.50115
controls-4-origin--1000000000000,0,20000,964.92115,1026.57315
controls-4-origin--1000000000000,1,20000,968.26755,1026.2884
controls-4-origin--1000000000000,2,20000,964.5619,1025.0236
controls-4-origin--1000000000000,3,20000,966.44515,1025.90115
controls-4-origin--1000000000000,4,20000,965.64035,1025.39555
controls-19-origin-0,0,20000,17650.8511,17993.23685
controls-19-origin-0,1,20000,17664.2991,17998.2912
controls-19-origin-0,2,20000,17652.3711,17999.26885
controls-19-origin-0,3,20000,17685.9567,17991.2064
controls-19-origin-0,4,20000,17657.0895,17984.06645
controls-19-origin-1000000000000,0,20000,17660.4871,17774.08475
controls-19-origin-1000000000000,1,20000,17662.9759,17767.94075
controls-19-origin-1000000000000,2,20000,17656.3399,17767.38715
controls-19-origin-1000000000000,3,20000,17660.04075,17774.75435
controls-19-origin-1000000000000,4,20000,17656.5975,17773.39195
controls-19-origin--1000000000000,0,20000,17658.92075,17774.43355
controls-19-origin--1000000000000,1,20000,17669.4831,17770.95275
controls-19-origin--1000000000000,2,20000,17658.71675,17779.12075
controls-19-origin--1000000000000,3,20000,17683.03435,17777.29435
controls-19-origin--1000000000000,4,20000,17662.9095,17776.4624
