case,round,iterations,legacy_ns_per_curve,framed_ns_per_curve
controls-4-origin-0,0,20000,964.1104,972.26085
controls-4-origin-0,1,20000,965.46805,973.2152
controls-4-origin-0,2,20000,963.5832,974.36485
controls-4-origin-0,3,20000,964.3888,974.8912
controls-4-origin-0,4,20000,963.31525,974.4576
controls-4-origin-1000000000000,0,20000,964.17045,1026.05365
controls-4-origin-1000000000000,1,20000,964.9384,1026.43285
controls-4-origin-1000000000000,2,20000,964.15125,1026.24725
controls-4-origin-1000000000000,3,20000,964.38965,1024.96565
controls-4-origin-1000000000000,4,20000,965.004,1026.28325
controls-4-origin--1000000000000,0,20000,963.5248,1025.02885
controls-4-origin--1000000000000,1,20000,964.7544,1026.0609
controls-4-origin--1000000000000,2,20000,964.108,1025.5497
controls-4-origin--1000000000000,3,20000,965.2144,1026.56725
controls-4-origin--1000000000000,4,20000,963.71285,1026.00645
controls-19-origin-0,0,20000,17267.1514,17603.85975
controls-19-origin-0,1,20000,17310.3211,17627.9589
controls-19-origin-0,2,20000,17272.2394,17604.98055
controls-19-origin-0,3,20000,17284.70665,17546.85165
controls-19-origin-0,4,20000,17255.07385,17586.27975
controls-19-origin-1000000000000,0,20000,17265.42745,17685.9078
controls-19-origin-1000000000000,1,20000,17293.1843,17686.5286
controls-19-origin-1000000000000,2,20000,17275.30345,17684.11345
controls-19-origin-1000000000000,3,20000,17287.7067,17687.1038
controls-19-origin-1000000000000,4,20000,17263.0131,17685.0686
controls-19-origin--1000000000000,0,20000,17262.9635,17680.66145
controls-19-origin--1000000000000,1,20000,17275.0563,17689.78465
controls-19-origin--1000000000000,2,20000,17262.9731,17687.95665
controls-19-origin--1000000000000,3,20000,17290.02835,17691.54385
controls-19-origin--1000000000000,4,20000,17266.6643,17683.7823
